date,country,city,location_type,mojo_integration,sessions,users,pageviews,bounce_rate,avg_session_duration,organic_traffic,paid_traffic,conversion_rate,revenue
2023-01-01,Germany,Berlin,Primary Market,True,418,323,1205,0.5191740380373613,164.65044483742537,237,181,0.021091228159211654,18031.719544503
2023-01-01,Germany,Hamburg,Primary Market,True,955,842,2067,0.6964829625091911,166.19516792430923,517,438,0.03588995349157241,24782.124993200065
2023-01-01,Germany,Munich,Primary Market,True,276,214,721,0.5114121052262631,113.24100814274185,119,157,0.02295261537186334,8588.141400063283
2023-01-01,Germany,Frankfurt,Primary Market,True,831,590,1339,0.4876497802976022,248.69283621050147,412,419,0.034746218049984845,28087.950571281897
2023-01-01,Germany,Cologne,Primary Market,True,529,417,1103,0.3777562385154772,180.14796999350702,281,248,0.02803358024225632,9480.935772484443
2023-01-01,Netherlands,Amsterdam,Primary Market,True,248,215,718,0.5454388523575233,103.86608196460567,110,138,0.02127392942004184,2560.66561994797
2023-01-01,Netherlands,Rotterdam,Primary Market,True,601,472,1608,0.5887059080523744,66.25164248999651,261,340,0.032454497136527954,7829.853671702741
2023-01-01,Netherlands,The Hague,Primary Market,True,766,653,1317,0.609414010460232,176.71428498951298,319,447,0.03754204061560003,31036.660358468645
2023-01-01,England,London,Primary Market,True,942,761,1725,0.4567940269913189,231.52063370853807,417,525,0.04595789824219674,36164.47174014313
2023-01-01,England,Manchester,Primary Market,True,450,374,924,0.5224477184875471,63.64160128319948,197,253,0.04995007321879413,18127.982385039028
2023-01-01,North America,New York,Expansion Market,False,509,404,1015,0.45281450162916226,216.30274545300637,223,286,0.0340301692652865,20366.85827904434
2023-01-01,North America,Los Angeles,Expansion Market,False,843,709,2068,0.46990773941755154,245.9879528352916,471,372,0.022813311260272306,23368.771904367426
2023-01-01,North America,Toronto,Expansion Market,False,805,593,1694,0.6177944801258055,203.0755433192859,362,443,0.047090523188587606,35408.72608560634
2023-01-01,North America,Vancouver,Expansion Market,False,785,562,1282,0.40840993639475204,137.0646764465071,354,431,0.04418508483563592,23593.28057440361
2023-01-01,Australia,Sydney,Expansion Market,False,125,94,329,0.3990391428511417,283.10536992836387,57,68,0.03393976849886917,4788.791771218287
2023-01-01,Australia,Melbourne,Expansion Market,False,562,490,1257,0.3968103458516403,208.85745170535304,242,320,0.017032372193869227,19668.809064752993
2023-01-01,Australia,Brisbane,Expansion Market,False,330,280,936,0.6017726701791004,92.68247232750586,153,177,0.04500260329238729,6480.133727072163
2023-01-01,Croatia,Zagreb,Primary Market,True,162,130,256,0.5123266861831925,282.23671047506565,92,70,0.024680086484133737,4923.208383183287
2023-01-01,Croatia,Split,Primary Market,True,288,244,485,0.6476077588569931,284.6880310783015,158,130,0.015322819464346694,8990.696171377534
2023-01-01,Croatia,Rijeka,Primary Market,True,786,689,1243,0.34832685453403966,211.9243691766965,325,461,0.026104507843031158,36421.34802198512
2023-01-02,Germany,Berlin,Primary Market,True,189,150,510,0.6516475253969659,248.55055326714103,91,98,0.030569775393501544,8919.852561418877
2023-01-02,Germany,Hamburg,Primary Market,True,118,96,249,0.48170711176207903,78.95586006906669,60,58,0.046135314262818194,1752.190660732509
2023-01-02,Germany,Munich,Primary Market,True,117,88,205,0.6635627360889831,136.14716702859022,69,48,0.02035290135315527,1642.938665873687
2023-01-02,Germany,Frankfurt,Primary Market,True,134,119,333,0.5269388718755463,250.26082012423262,64,70,0.02375422478332732,5175.748072177129
2023-01-02,Germany,Cologne,Primary Market,True,586,441,1163,0.3959414605814152,198.42942505614516,292,294,0.038604848865089025,8089.811975785613
2023-01-02,Netherlands,Amsterdam,Primary Market,True,379,305,839,0.6654146828426826,191.1775560912944,189,190,0.01794721890123599,5076.21216848994
2023-01-02,Netherlands,Rotterdam,Primary Market,True,95,79,231,0.403250516371893,118.62193439999469,48,47,0.0350009152842492,3761.6764722288
2023-01-02,Netherlands,The Hague,Primary Market,True,347,252,1021,0.6686368089923088,186.9105428890325,142,205,0.039391985122981844,16239.899720904434
2023-01-02,England,London,Primary Market,True,322,282,875,0.46908127133304156,249.01079034222525,131,191,0.026903003423474264,3746.10329694918
2023-01-02,England,Manchester,Primary Market,True,220,177,535,0.363945659500779,179.12477523147214,120,100,0.029027299627626922,8450.277913987295
2023-01-02,North America,New York,Expansion Market,False,563,474,1583,0.5393370628914953,152.8533689122192,286,277,0.010125181184864718,25919.08544876755
2023-01-02,North America,Los Angeles,Expansion Market,False,659,549,1221,0.3186443634151976,143.58524847874685,331,328,0.026359975366716012,14605.432917015565
2023-01-02,North America,Toronto,Expansion Market,False,225,193,460,0.46978007545248796,87.0543923021644,110,115,0.046189720416562045,7989.506945645777
2023-01-02,North America,Vancouver,Expansion Market,False,659,571,1351,0.33658059587611655,184.7077278465577,326,333,0.019528599579459655,14686.543020302815
2023-01-02,Australia,Sydney,Expansion Market,False,567,400,1401,0.41030285970798946,77.69719279080945,250,317,0.029339461922114236,6559.18158303673
2023-01-02,Australia,Melbourne,Expansion Market,False,506,354,773,0.34655356311290886,236.09128632846605,293,213,0.02566331054675223,10960.415836733288
2023-01-02,Australia,Brisbane,Expansion Market,False,587,486,1091,0.34748164699924694,155.44585094190353,350,237,0.03070969386467133,24962.83200130293
