device,date,sessions,conversions,revenue,bounce_rate,avg_session_duration,conversion_rate,revenue_per_session
Desktop,2023-01-31,235302,6685,592425.6683427232,0.5045286592244222,178.31065779091892,0.028410298255008456,2.5177247466775596
Desktop,2023-02-28,208779,5808,536925.7182415297,0.49595734513648204,180.4728184914353,0.027818889830873796,2.5717419771218832
Desktop,2023-03-31,233207,6945,623795.2911551908,0.4988565139805566,179.82674262094207,0.029780409678954747,2.6748566344714817
Desktop,2023-04-30,238694,6890,602993.2745416742,0.48614070543381893,175.80401900693167,0.028865409268770896,2.5262188179915466
Desktop,2023-05-31,242699,6902,612301.8326976013,0.5082982462150357,187.30770887568585,0.02843851849410175,2.5228856843151446
Desktop,2023-06-30,233657,6567,617400.2447430093,0.48014601646948907,174.33672796658726,0.028105299648630257,2.6423357517344197
Desktop,2023-07-31,241984,7261,658019.4103852051,0.495888711364365,171.02634739284915,0.03000611610685004,2.71926825899731
Desktop,2023-08-31,240315,7350,641094.5189018893,0.47994217201149303,178.45681244861095,0.030584857374695712,2.6677257720154355
Desktop,2023-09-30,237032,6948,613048.5998935666,0.5046884006906371,172.01847138780604,0.029312497890580175,2.586353740817976
Desktop,2023-10-31,244838,7480,683041.3256173099,0.49504129052271584,180.38049279681317,0.03055081319076287,2.7897684412440467
Desktop,2023-11-30,220774,6417,592335.4114794746,0.495601822288439,181.71094578528403,0.02906592261769955,2.682994426334055
Desktop,2023-12-31,250456,7421,669280.3414639682,0.5039944140802,176.3134130988009,0.02962995496214904,2.6722471869868087
Desktop,2024-01-31,242888,6826,620741.2632247652,0.5003338572450436,184.6672655700014,0.028103488027403575,2.5556687165474012
Desktop,2024-02-29,231314,6856,631384.7871033768,0.5016150371378296,171.92010008727442,0.0296393646731283,2.729557169489857
Desktop,2024-03-31,245991,7854,735736.7468396436,0.5019624572688788,177.0990540212437,0.031927997365757285,2.990909207408578
Desktop,2024-04-30,225189,6871,585851.6110910724,0.5079146432010477,176.96032531213692,0.030512147573815773,2.6015995945231447
Desktop,2024-05-31,242521,7242,680335.336621034,0.5076041171289826,183.0420565288148,0.029861331596026736,2.8052636127223374
Desktop,2024-06-30,235698,6952,644051.3302194205,0.4941253220663148,176.21728090600405,0.029495371195343192,2.7325277695161625
Desktop,2024-07-31,245072,7448,664937.6682935997,0.49367508470514726,183.28119044497018,0.030391068747143698,2.7132339406117376
Desktop,2024-08-31,233592,6794,631517.4572332454,0.4934217451970806,181.01682459143458,0.029084900167813968,2.7035063582367775
Desktop,2024-09-30,235476,6950,639196.5492492663,0.4971577879902941,177.61095471064823,0.029514685148380303,2.7144870358306847
Desktop,2024-10-31,239056,6678,561616.358228737,0.5087030201361592,180.72642446045438,0.027934877183588783,2.3493087737966714
Desktop,2024-11-30,225871,6826,572381.347590587,0.4971259539169567,181.20745657264092,0.0302207897428178,2.53410728951741
Desktop,2024-12-31,226931,6952,628403.9407154197,0.4964214865175049,178.78195053822023,0.030634862579374346,2.7691410195848944
Mobile,2023-01-31,254628,7379,675057.4251200771,0.5028764724817685,183.2932449220706,0.028979530923543367,2.651151582387157
Mobile,2023-02-28,218534,6481,586451.4219842684,0.49085784285666484,177.66017570283847,0.029656712456642902,2.6835706205179437
Mobile,2023-03-31,233466,6546,560298.2503706733,0.4985830357023862,183.41222572163795,0.028038343913032303,2.3999136935171426
Mobile,2023-04-30,227741,6980,639718.1931264697,0.4864031517874358,179.56249175782443,0.03064885110717877,2.8089724429350436
Mobile,2023-05-31,242541,7333,656449.357557056,0.49371892793191136,177.11368120342587,0.030234063519157587,2.7065500577512918
Mobile,2023-06-30,244204,7461,663694.0042160953,0.4932964305037442,174.9971982600648,0.03055232510523988,2.717785147729338
Mobile,2023-07-31,241125,7166,641356.0321025938,0.4924689857022403,187.74495423136005,0.02971902540176257,2.659848759367937
Mobile,2023-08-31,238310,6935,635006.1702393513,0.489535373516432,182.20272037088213,0.029100751122487518,2.664622425577405
Mobile,2023-09-30,224202,6603,618976.2885661721,0.4971712486194233,182.346108899932,0.029451119972167955,2.7607973549128557
Mobile,2023-10-31,242974,7371,649046.2211422232,0.48733434800074177,179.7052389429014,0.030336579222468248,2.6712579170702346
Mobile,2023-11-30,232999,6756,612135.6891925512,0.5073708841654151,182.73587214223312,0.028995832600139916,2.6272030746593384
Mobile,2023-12-31,238292,7518,675410.2874901439,0.4978607551580569,171.9465111681497,0.03154952747049838,2.834380875103419
Mobile,2024-01-31,240388,6936,641992.7578967327,0.4880769485433002,180.5930301474155,0.028853353744779275,2.6706522700664452
Mobile,2024-02-29,232149,6561,556674.4374718387,0.49876091042730747,175.71095586227133,0.028262021374203635,2.397918739567427
Mobile,2024-03-31,230729,6937,589208.1599668026,0.49241473813089376,180.08292705367361,0.030065574765200734,2.553680551498956
Mobile,2024-04-30,231616,6864,629551.21863526,0.498513869279137,178.77455879361236,0.029635258358662615,2.7180817328477307
