competitor,date,ranking,search_volume,estimated_traffic,market_share,avg_ranking
Competitor A,2023-01-31,15.72258064516129,247192,7092,0.15146558284174952,15.72258064516129
Competitor A,2023-02-28,14.021428571428572,214357,6733,0.14105610341536337,14.021428571428572
Competitor A,2023-03-31,14.290322580645162,250096,10806,0.1458540674811345,14.290322580645162
Competitor A,2023-04-30,14.806666666666667,248973,10635,0.15146094497479198,14.806666666666667
Competitor A,2023-05-31,14.748387096774193,243995,7569,0.147075654741197,14.748387096774193
Competitor A,2023-06-30,15.986666666666666,228712,7247,0.1504524972981225,15.986666666666666
Competitor A,2023-07-31,14.27741935483871,251095,8933,0.15081822130094844,14.27741935483871
Competitor A,2023-08-31,15.729032258064516,258288,7247,0.14937264868276073,15.729032258064516
Competitor A,2023-09-30,16.926666666666666,234630,6472,0.15356365774109576,16.926666666666666
Competitor A,2023-10-31,16.258064516129032,246906,7460,0.14487032538961492,16.258064516129032
Competitor A,2023-11-30,16.426666666666666,235906,6051,0.14736952645715207,16.426666666666666
Competitor A,2023-12-31,16.81935483870968,231419,6842,0.1494560399410294,16.81935483870968
Competitor A,2024-01-31,15.290322580645162,238954,6754,0.14620318274109798,15.290322580645162
Competitor A,2024-02-29,16.46206896551724,241913,6723,0.1474837743226623,16.46206896551724
Competitor A,2024-03-31,14.483870967741936,251143,7342,0.1467417893980772,14.483870967741936
Competitor A,2024-04-30,15.046666666666667,253210,9345,0.1509618458033267,15.046666666666667
Competitor A,2024-05-31,16.6,241855,6976,0.15492631777401938,16.6
Competitor A,2024-06-30,15.333333333333334,238490,7895,0.1533639246866411,15.333333333333334
Competitor A,2024-07-31,16.47741935483871,261571,7774,0.15954845231717826,16.47741935483871
Competitor A,2024-08-31,17.01290322580645,230086,6724,0.15061726418652227,17.01290322580645
Competitor A,2024-09-30,14.593333333333334,233823,8358,0.14686319498308203,14.593333333333334
Competitor A,2024-10-31,15.935483870967742,273901,8494,0.1533260151147376,15.935483870967742
Competitor A,2024-11-30,13.926666666666666,223106,7094,0.1462064673301729,13.926666666666666
Competitor A,2024-12-31,16.10322580645161,252237,7960,0.15373129396274796,16.10322580645161
Competitor B,2023-01-31,15.245161290322581,246082,10076,0.161578019446373,15.245161290322581
Competitor B,2023-02-28,15.678571428571429,227130,6434,0.14171551381010225,15.678571428571429
Competitor B,2023-03-31,15.245161290322581,248280,7330,0.1456266137473569,15.245161290322581
Competitor B,2023-04-30,15.226666666666667,243106,8008,0.14351166434805554,15.226666666666667
Competitor B,2023-05-31,14.522580645161291,245766,8866,0.14809216745964818,14.522580645161291
Competitor B,2023-06-30,15.713333333333333,245911,7306,0.14533810251943854,15.713333333333333
Competitor B,2023-07-31,14.548387096774194,244614,9018,0.16018986337009192,14.548387096774194
Competitor B,2023-08-31,15.503225806451614,245384,8335,0.14864302931055212,15.503225806451614
Competitor B,2023-09-30,16.06,217529,5701,0.14472203353826765,16.06
Competitor B,2023-10-31,15.174193548387096,249055,9429,0.14412869277089324,15.174193548387096
Competitor B,2023-11-30,16.006666666666668,235089,7330,0.14785478951922384,16.006666666666668
Competitor B,2023-12-31,16.63225806451613,240339,6707,0.15808967209006666,16.63225806451613
Competitor B,2024-01-31,15.30967741935484,242188,7891,0.14721603550495208,15.30967741935484
Competitor B,2024-02-29,14.848275862068965,255509,8812,0.15066803647085175,14.848275862068965
Competitor B,2024-03-31,14.948387096774194,250264,8047,0.15467278372366813,14.948387096774194
Competitor B,2024-04-30,14.866666666666667,237543,7709,0.14544635539837159,14.866666666666667
Competitor B,2024-05-31,15.193548387096774,234328,7316,0.1494022412380684,15.193548387096774
Competitor B,2024-06-30,16.44,242514,7190,0.14932103465018423,16.44
Competitor B,2024-07-31,15.44516129032258,244312,8793,0.15108683221621014,15.44516129032258
Competitor B,2024-08-31,14.787096774193548,254187,10093,0.15521335538339168,14.787096774193548
Competitor B,2024-09-30,15.42,257661,8745,0.15237179105203838,15.42
Competitor B,2024-10-31,15.935483870967742,242243,7215,0.1522073070291624,15.935483870967742
Competitor B,2024-11-30,16.713333333333335,237629,5793,0.1487931617123297,16.713333333333335
Competitor B,2024-12-31,14.941935483870967,237949,8556,0.14289926640324638,14.941935483870967
Competitor C,2023-01-31,15.580645161290322,244080,6932,0.14849000288398645,15.580645161290322
Competitor C,2023-02-28,14.492857142857142,221900,9969,0.1434556134875584,14.492857142857142
