keyword,date,ranking,search_volume,clicks,impressions,ctr,avg_position,organic_traffic_potential
Absperrgitter mieten,2023-01-01,18.857142857142858,2299.4285714285716,183,14438,0.011696687484067044,19.00702809495794,121.93939393939395
Absperrgitter mieten,2023-01-08,28.306122448979593,2545.9591836734694,1289,112377,0.012085696742471336,28.302434548094062,89.943763518385
Absperrgitter mieten,2023-01-15,27.46938775510204,2552.469387755102,1678,124833,0.018976212664284665,27.382235676293117,92.92050520059436
Absperrgitter mieten,2023-01-22,24.897959183673468,2554.3061224489797,1630,118714,0.020486960990939256,24.904083605426557,102.59098360655739
Absperrgitter mieten,2023-01-29,27.3265306122449,2484.795918367347,2283,122622,0.018745331766435017,27.256351959669683,90.92979835698283
Absperrgitter mieten,2023-02-05,23.836734693877553,2453.2244897959185,2832,115027,0.02277988941141242,24.130534824348672,102.91780821917807
Absperrgitter mieten,2023-02-12,27.244897959183675,2727.183673469388,2806,138874,0.018176961519377626,27.271812456666996,100.09887640449438
Absperrgitter mieten,2023-02-19,23.081632653061224,2661.6938775510203,2759,125749,0.022709947701171514,23.258874118277106,115.31653404067197
Absperrgitter mieten,2023-02-26,26.346938775510203,2707.6938775510203,2251,133286,0.016532906669127965,26.415498528101494,102.77072037180479
Absperrgitter mieten,2023-03-05,25.183673469387756,2615.918367346939,2628,132879,0.01907809932861608,25.02349217880454,103.87358184764992
Absperrgitter mieten,2023-03-12,27.244897959183675,2541.6326530612246,1463,126841,0.012372932336831049,27.0634651313947,93.28838951310861
Absperrgitter mieten,2023-03-19,27.142857142857142,2860.714285714286,2454,132373,0.016547616069091987,26.9765562119685,105.39473684210527
Absperrgitter mieten,2023-03-26,24.693877551020407,2198.122448979592,1616,102042,0.015630703663755456,24.775333502353334,89.01487603305786
Absperrgitter mieten,2023-04-02,26.46938775510204,2252.714285714286,1263,103405,0.011884251675958763,26.477680084903024,85.10639938319198
Absperrgitter mieten,2023-04-09,24.285714285714285,2672.2244897959185,1908,125190,0.01575280794477448,24.438777628258045,110.0327731092437
Absperrgitter mieten,2023-04-16,23.387755102040817,2387.4489795918366,1517,112225,0.014368891873744764,23.400053673660594,102.08115183246073
Absperrgitter mieten,2023-04-23,27.06122448979592,2996.081632653061,1816,140618,0.013731500361840867,27.232193012853095,110.71493212669684
Absperrgitter mieten,2023-04-30,21.102040816326532,2393.612244897959,2984,112785,0.02362118991754429,21.08512895506013,113.43036750483557
Absperrgitter mieten,2023-05-07,26.285714285714285,2646.183673469388,2607,131597,0.02098211522380035,26.225803120626217,100.67003105590064
Absperrgitter mieten,2023-05-14,24.020408163265305,2020.6530612244899,1527,92752,0.016931454758306184,24.048796991103654,84.12234494477487
Absperrgitter mieten,2023-05-21,25.387755102040817,2894.612244897959,2236,136178,0.016128327039331123,25.226676865787734,114.016077170418
Absperrgitter mieten,2023-05-28,24.428571428571427,2633.9795918367345,1946,133186,0.021872055787656414,24.253344033481383,107.82372598162073
Absperrgitter mieten,2023-06-04,23.448979591836736,2526.8367346938776,2860,121251,0.021182322278138946,23.38775961735024,107.75892080069625
Absperrgitter mieten,2023-06-11,27.081632653061224,2296.795918367347,1425,109915,0.02087268351325948,26.903143588858967,84.81009796533534
Absperrgitter mieten,2023-06-18,25.163265306122447,2747.6530612244896,2655,136608,0.025056021423346425,25.071993096958856,109.19302514193025
Absperrgitter mieten,2023-06-25,26.775510204081634,2658.469387755102,1906,124812,0.01750863564940658,26.831689270165253,99.2873475609756
Absperrgitter mieten,2023-07-02,21.26530612244898,3055.3469387755104,4423,142674,0.03255951751282607,21.236391169195162,143.67754318618043
Absperrgitter mieten,2023-07-09,23.142857142857142,2568.4285714285716,2104,126751,0.01654536277621366,23.222187027289422,110.98148148148148
Absperrgitter mieten,2023-07-16,22.163265306122447,2726.1020408163267,2220,131819,0.015055275166853076,22.317268791569177,123.00092081031309
Absperrgitter mieten,2023-07-23,26.836734693877553,2340.9591836734694,2555,116974,0.01758094068480129,26.60064830334592,87.2296577946768
Absperrgitter mieten,2023-07-30,26.714285714285715,2495.8571428571427,2722,133577,0.020460600042016046,26.72955567323615,93.427807486631
Absperrgitter mieten,2023-08-06,25.142857142857142,2512.734693877551,1947,113369,0.018633245345160514,24.996291719984324,99.93831168831169
Absperrgitter mieten,2023-08-13,24.551020408163264,2556.265306122449,2029,124917,0.02216946330365972,24.593193645353857,104.12053200332502
