date,country,location_type,impressions,clicks,conversions,revenue,cost,ctr,conversion_rate,roas,mojo_integration
2023-01-01,Germany,Primary Market,13783,500,10,494.95252905582777,803.8823344742763,0.036276572589421754,0.02,0.6157027065155217,True
2023-01-01,Netherlands,Primary Market,13735,591,46,4215.858869330292,2012.8857643805422,0.04302875864579541,0.077834179357022,2.0944352351896662,True
2023-01-01,England,Primary Market,23188,999,23,1690.4900636436223,3463.9815356031604,0.043082628946006556,0.023023023023023025,0.4880193633449228,True
2023-01-01,North America,Expansion Market,19105,487,15,1555.0399569739259,1606.891604710652,0.02549070923841926,0.030800821355236138,0.9677317078608654,False
2023-01-01,Australia,Expansion Market,2423,43,1,127.05217362289923,124.70254083614374,0.017746595130004126,0.023255813953488372,1.018841899860267,False
2023-01-01,Croatia,Primary Market,7465,343,14,1898.335252747182,1236.6763331285272,0.04594775619557937,0.04081632653061224,1.535029984721062,True
2023-01-02,Germany,Primary Market,16846,792,34,5641.6354540014045,1906.1619646083598,0.047014127982903955,0.04292929292929293,2.9596831532416688,True
2023-01-02,Netherlands,Primary Market,18758,725,37,7339.911065389129,1827.7216366262917,0.03865017592493869,0.05103448275862069,4.0158801637526915,True
2023-01-02,England,Primary Market,23947,676,52,8694.375483016156,1923.1669807375345,0.028229005720967135,0.07692307692307693,4.520863539203374,True
2023-01-02,North America,Expansion Market,18310,236,10,1456.9510958597505,740.3084721987938,0.012889131622064445,0.0423728813559322,1.9680324494091672,False
2023-01-02,Australia,Expansion Market,22468,298,12,2132.9306448416896,663.9627285078593,0.013263307815559908,0.040268456375838924,3.2124252661517314,False
2023-01-02,Croatia,Primary Market,17673,490,28,5112.052976074112,1561.9235757671834,0.02772590957958468,0.05714285714285714,3.272921323031558,True
2023-01-03,Germany,Primary Market,13127,593,40,3291.2471249676655,2082.305464911581,0.04517406871333892,0.06745362563237774,1.5805784407848242,True
2023-01-03,Netherlands,Primary Market,8771,252,7,701.3584374904038,581.822164348602,0.028731045490822026,0.027777777777777776,1.2054515631518312,True
2023-01-03,England,Primary Market,13274,435,20,936.180116458853,1622.2258252096885,0.03277083019436492,0.04597701149425287,0.5770960503219967,True
2023-01-03,North America,Expansion Market,16521,262,18,2957.327120326997,676.3449136382886,0.015858604200714242,0.06870229007633588,4.372513285297781,False
2023-01-03,Australia,Expansion Market,18477,714,35,2951.2708213327837,1892.321444915205,0.03864263679168696,0.049019607843137254,1.5596033270473402,False
2023-01-03,Croatia,Primary Market,20984,808,42,5121.541021026555,2289.6903390310827,0.0385055280213496,0.05198019801980198,2.2367832600428463,True
2023-01-04,Germany,Primary Market,11272,173,4,710.5171327589966,499.3566314731265,0.01534776437189496,0.023121387283236993,1.4228651187888228,True
2023-01-04,Netherlands,Primary Market,23688,346,19,3708.575618957702,936.9236186714928,0.014606551840594393,0.05491329479768786,3.9582475508689408,True
2023-01-04,England,Primary Market,4171,206,12,2297.0053217284176,630.6798894753575,0.0493886358187485,0.05825242718446602,3.6421096661877437,True
2023-01-04,North America,Expansion Market,14104,610,48,2160.427281285749,1252.8675005389625,0.04325014180374362,0.07868852459016394,1.7243860826115847,False
2023-01-04,Australia,Expansion Market,12655,523,26,2760.213963396361,1899.1395968493428,0.041327538522323196,0.0497131931166348,1.4534023554537716,False
2023-01-04,Croatia,Primary Market,15636,465,30,1357.6606110498337,1560.12852517456,0.029739063699155795,0.06451612903225806,0.8702235675730161,True
2023-01-05,Germany,Primary Market,22405,237,14,586.7158997419998,885.1841556295158,0.0105779959830395,0.05907172995780591,0.6628178961526322,True
2023-01-05,Netherlands,Primary Market,10770,459,31,2529.9479576853073,1471.7423910777427,0.04261838440111421,0.06753812636165578,1.719015483295722,True
2023-01-05,England,Primary Market,8144,266,20,2653.7246977227865,818.8024860391364,0.03266208251473477,0.07518796992481203,3.240982707026058,True
2023-01-05,North America,Expansion Market,13474,208,13,2441.468132133599,556.3402521295179,0.015437138192073624,0.0625,4.388444163060876,False
2023-01-05,Australia,Expansion Market,12285,559,12,587.3514177620932,1677.452171072509,0.0455026455026455,0.02146690518783542,0.35014495667352447,False
2023-01-05,Croatia,Primary Market,21360,328,19,2579.7303498019683,635.4744237081732,0.015355805243445693,0.057926829268292686,4.059534504549391,True
2023-01-06,Germany,Primary Market,5982,70,1,191.75344561061823,171.12217805824122,0.01170177198261451,0.014285714285714285,1.120564545089855,True
2023-01-06,Netherlands,Primary Market,11878,289,22,2333.197561966684,796.2423662587988,0.024330695403266545,0.07612456747404844,2.9302605096603664,True
2023-01-06,England,Primary Market,6500,233,5,726.661592591237,478.6965816592039,0.03584615384615385,0.02145922746781116,1.5180003794315071,True
2023-01-06,North America,Expansion Market,9865,325,25,1999.6092448501624,798.2404871913137,0.03294475418144957,0.07692307692307693,2.505021076901249,False
2023-01-06,Australia,Expansion Market,9059,313,7,443.71383384816926,1010.9894108925217,0.03455127497516282,0.022364217252396165,0.43889068378713264,False
2023-01-06,Croatia,Primary Market,4308,191,10,1378.056909764157,727.6142830872955,0.04433611884865367,0.05235602094240838,1.8939387829455578,True
2023-01-07,Germany,Primary Market,3415,57,4,358.8312849490992,224.9760077531238,0.016691068814055635,0.07017543859649122,1.5949757866752652,True
2023-01-07,Netherlands,Primary Market,10009,255,19,1006.928732644696,654.223530537588,0.025477070636427214,0.07450980392156863,1.539120324543025,True
2023-01-07,England,Primary Market,23599,732,40,6432.81530520017,1988.610193732171,0.03101826348574092,0.0546448087431694,3.2348296943641994,True
2023-01-07,North America,Expansion Market,19091,804,45,2744.449336201125,2361.4258332602353,0.042114085171023,0.055970149253731345,1.1622000985786114,False
2023-01-07,Australia,Expansion Market,23809,1017,50,6289.677110481278,2669.9205115101427,0.04271493972867403,0.049164208456243856,2.3557544441365232,False
2023-01-07,Croatia,Primary Market,10837,376,21,1548.1051714320124,859.6322449595166,0.034695949063393926,0.05585106382978723,1.8008923938223358,True
