date,total_traffic,total_conversions,total_revenue,avg_order_value,conversion_rate,revenue_per_visitor,revenue_growth,traffic_growth
2023-01-01,1057,54,6362.411935685263,117.8224432534308,0.0510879848628193,6.019311197431659,,
2023-01-08,7282,252,27106.255045368875,111.65973699278753,0.03507156626313045,3.827277800616565,3.2603741033076314,5.889309366130558
2023-01-15,7406,314,35455.32629106882,112.9652297435381,0.04307088206999433,4.8466584431619335,0.30801271631679694,0.017028288931612234
2023-01-22,7777,274,36925.741905433984,136.11370987685044,0.034951704013209725,4.697480956901762,0.04147234754783691,0.05009451795841202
2023-01-29,8605,329,40075.60116629691,123.63109517712527,0.039136144506434725,4.750279745160587,0.08530253146787525,0.10646778963610637
2023-02-05,9391,387,45978.85382035545,118.24913390265463,0.04146780656121767,4.898762587055712,0.14730290955742675,0.0913422428820454
2023-02-12,8507,269,30143.976523601013,115.53030812598288,0.03259497833437568,3.593969280056096,-0.34439478110139676,-0.09413268022574806
2023-02-19,8708,400,48083.620303403804,118.73334494258962,0.04632072207107864,5.557044668565991,0.5951319583120387,0.023627600799341675
2023-02-26,8890,345,35775.973445782416,106.60383082954388,0.039718558760546405,4.09721599746235,-0.2559633983456553,0.020900321543408262
2023-03-05,9405,389,44085.25337075706,112.48960546081864,0.040956286744513244,4.647898217255883,0.2322586676101812,0.05793025871766022
2023-03-12,9864,419,46457.66540822056,115.24337248877019,0.04138476503754333,4.615746039815747,0.053814186288360544,0.04880382775119618
2023-03-19,10160,391,44237.32937737787,111.22143778657605,0.038328854948405426,4.337917647050689,-0.04779267342284066,0.030008110300081103
2023-03-26,11034,518,57994.6817803695,110.07314518200133,0.04692383831582704,5.243022374846211,0.31098966860388444,0.08602362204724412
2023-04-02,10989,382,48188.65579012582,124.42163421218288,0.03524400854295214,4.463464483341229,-0.1690849176029603,-0.004078303425774865
2023-04-09,10594,384,42806.54138914227,110.9386363402972,0.03653206493912881,4.1469148082694085,-0.11168841115685113,-0.03594503594503595
2023-04-16,11168,392,41749.48319831454,110.1874972046556,0.035443220628854855,3.7891776110999715,-0.024693847167382876,0.054181612233339616
