country,device,location_type,mojo_integration,date,sessions,conversions,revenue,bounce_rate,avg_session_duration
Australia,Desktop,Expansion Market,False,2023-01-31,32208,1456,168040.60342751746,0.49518428702629874,196.65078615978538
Australia,Desktop,Expansion Market,False,2023-02-28,33837,1493,169721.21620985976,0.5373203712850269,187.15368436213174
Australia,Desktop,Expansion Market,False,2023-03-31,37527,1677,200809.71477131153,0.4870613366188687,186.35488507605316
Australia,Desktop,Expansion Market,False,2023-04-30,34937,1588,191864.26114319076,0.48530354477524856,196.26621705215015
Australia,Desktop,Expansion Market,False,2023-05-31,38071,1768,203915.86314755128,0.5235268253055511,177.34834558130703
Australia,Desktop,Expansion Market,False,2023-06-30,33448,1472,177276.7155560204,0.4789924014804453,198.10134106140245
Australia,Desktop,Expansion Market,False,2023-07-31,35207,1566,187394.7931848821,0.4916588486573759,173.73205644453046
Australia,Desktop,Expansion Market,False,2023-08-31,35315,1621,195366.55437746132,0.5029325498027952,188.85914535679942
Australia,Desktop,Expansion Market,False,2023-09-30,35569,1550,190652.54956947843,0.5137402455098727,160.88848301686778
Australia,Desktop,Expansion Market,False,2023-10-31,38113,1710,199723.09750333324,0.49474277541222866,173.71710963122504
Australia,Desktop,Expansion Market,False,2023-11-30,41158,1787,219040.5643678713,0.47206916802836646,175.04193554661504
Australia,Desktop,Expansion Market,False,2023-12-31,31216,1362,168622.061650502,0.5189787080978839,186.77825205693176
Australia,Desktop,Expansion Market,False,2024-01-31,32998,1508,179383.66446953037,0.5166867030364481,172.57668599896738
Australia,Desktop,Expansion Market,False,2024-02-29,37135,1691,206713.52766827997,0.48132451504040535,182.95046615342582
Australia,Desktop,Expansion Market,False,2024-03-31,31829,1321,163778.39793654784,0.5082297191718975,190.4583975273235
Australia,Desktop,Expansion Market,False,2024-04-30,37761,1685,200084.5277359435,0.4733423049244837,166.05678550051758
Australia,Desktop,Expansion Market,False,2024-05-31,40602,1813,214031.4580717926,0.4948568886548642,173.93933070287716
