country,campaign,is_mojo_campaign,date,budget,spend,impressions,clicks,conversions,revenue,ctr,cpc,roas,budget_utilization
Australia,EVAGO Construction Safety,False,2023-01-31,22652.977657707786,20483.93232772617,1137446,29796,1369,182118.51709667448,0.026195529282269224,0.687472557649556,8.8907986114642,0.9042489970741842
Australia,EVAGO Construction Safety,False,2023-02-28,26322.015294215213,23927.647138264423,976189,25769,1113,147786.7838731731,0.026397552113371487,0.9285438759076574,6.176402678424516,0.9090355305554054
Australia,EVAGO Construction Safety,False,2023-03-31,21165.354818981534,18959.785486430377,950020,21650,1044,149467.9637825927,0.02278899391591756,0.875740669119186,7.883420616207275,0.8957934156353875
Australia,EVAGO Construction Safety,False,2023-04-30,26327.940109924202,23987.961514631694,760506,20418,1093,145030.45079346155,0.02684791441487641,1.1748438394863205,6.04596812884658,0.9111218505692945
Australia,EVAGO Construction Safety,False,2023-05-31,25502.92887728542,22800.61344614072,1180968,26062,1210,200141.4942167353,0.022068337160702067,0.8748604652805126,8.777899537199149,0.8940390162970042
Australia,EVAGO Construction Safety,False,2023-06-30,27282.034636027096,24725.54735790007,1116107,29501,1334,184020.8304497678,0.026432053557589014,0.8381257366835047,7.442538188784371,0.9062941121425353
Australia,EVAGO Construction Safety,False,2023-07-31,21921.109610997457,20332.822237913068,938722,24107,1319,191416.84839118135,0.025680659449762548,0.843440587294689,9.414179996826064,0.9275453021644684
Australia,EVAGO Construction Safety,False,2023-08-31,27901.15883598738,25908.090806419317,930925,22784,1021,145914.2880592232,0.024474581733222332,1.1371177495794995,5.63199693676655,0.9285668369086746
Australia,EVAGO Construction Safety,False,2023-09-30,20909.784949048113,18494.771327233982,923520,22756,1186,179923.9728503653,0.02464050589050589,0.8127426317118115,9.728369692542403,0.8845031822326767
Australia,EVAGO Construction Safety,False,2023-10-31,23657.78551737459,20981.862172943594,1250784,31962,1547,204196.34114310576,0.02555357279914038,0.6564627424111005,9.732040915149076,0.8868903709324036
Australia,EVAGO Construction Safety,False,2023-11-30,24225.035212228817,21305.047021277056,958875,23113,1099,159263.4869642247,0.02410428888019815,0.9217776585158594,7.475387724099855,0.8794640269716616
Australia,EVAGO Construction Safety,False,2023-12-31,27722.07456454433,24625.671536002967,1018164,24426,1144,192910.87627970293,0.02399024125779344,1.0081745490871599,7.8337305846732095,0.8883055082572512
Australia,EVAGO Construction Safety,False,2024-01-31,28055.30771570828,25622.535020637326,1187241,31585,1642,268525.53984731226,0.026603697143208496,0.8112247909019258,10.480053579047974,0.913286543861045
Australia,EVAGO Construction Safety,False,2024-02-29,25603.581812564273,22933.233200412877,1063674,25504,1312,228226.256718727,0.023977271231599154,0.8992014272432903,9.951769762434463,0.8957040998521154
Australia,EVAGO Construction Safety,False,2024-03-31,23697.17354546446,20764.758570844013,1041347,23256,1184,207909.89345160476,0.022332613432410137,0.8928774755264883,10.012632352178317,0.8762546525224019
Australia,EVAGO Construction Safety,False,2024-04-30,25166.921034095485,23002.969682211322,925708,21022,1083,170584.90571724196,0.022709104814909238,1.0942331691661746,7.415777531070644,0.914016047137729
Australia,EVAGO Construction Safety,False,2024-05-31,26046.35530255294,23656.11470215716,1000823,27718,1340,217140.28269717924,0.027695206844766757,0.8534567682429165,9.179034065022462,0.908231283316576
Australia,EVAGO Construction Safety,False,2024-06-30,20397.643017744937,18434.018669666508,985621,24922,1160,165575.27122917367,0.02528558137458516,0.7396685125458032,8.982049665688502,0.9037327819508277
Australia,EVAGO Construction Safety,False,2024-07-31,21947.667173213213,19532.006453074668,985515,26549,1444,225932.39510287042,0.02693921452235633,0.7356965028089445,11.56729062350401,0.8899354222444734
Australia,EVAGO Construction Safety,False,2024-08-31,22415.43587518303,21004.413786193065,1068307,26688,1349,207943.44970119503,0.02498158300937839,0.7870358882716226,9.899988250940073,0.9370513204897274
Australia,EVAGO Construction Safety,False,2024-09-30,22803.334642577054,20579.157700163203,981786,23048,1132,191417.99729756394,0.023475584292299952,0.8928825798404721,9.30154674387115,0.9024626451667732
Australia,EVAGO Construction Safety,False,2024-10-31,21711.543658115592,19388.950717987387,1042427,24423,1375,202103.1654513635,0.023428978719852805,0.793880797526405,10.423625723277006,0.8930249743315677
Australia,EVAGO Construction Safety,False,2024-11-30,26579.92932500398,23972.54327905459,939910,20224,1028,165217.0155714228,0.021516953750891042,1.185351230174772,6.891926886863816,0.9019039511329099
Australia,EVAGO Construction Safety,False,2024-12-31,22655.31097596382,21467.617039638604,950729,22279,986,150163.5667610009,0.023433596745234448,0.9635808177942728,6.9948875314727905,0.9475754741311959
Australia,EVAGO Corporate Events,False,2023-01-31,22408.022633935554,20093.128024629787,1171551,31729,1513,226803.00169607103,0.027082901213860942,0.6332732838926467,11.287590534338909,0.8966934902234522
Australia,EVAGO Corporate Events,False,2023-02-28,24580.07445067162,21623.202247986883,765643,20047,1106,158750.91739342202,0.026183221161820848,1.0786253428436616,7.341693222529133,0.8797045058338323
Australia,EVAGO Corporate Events,False,2023-03-31,23685.622348563495,21664.069901100993,1021956,27132,1517,162482.97333507345,0.02654908821906227,0.7984693314573563,7.500113047863453,0.9146506510273265
Australia,EVAGO Corporate Events,False,2023-04-30,23537.52375381913,20978.48591812647,854854,21370,1071,150137.38973262114,0.024998420782964107,0.9816792661734426,7.156731439941281,0.8912783748002617
Australia,EVAGO Corporate Events,False,2023-05-31,24599.965107960747,21374.296187426953,1016868,25602,1294,209403.6041934064,0.025177309149270112,0.8348682207416199,9.796982429605533,0.8688750611483615
Australia,EVAGO Corporate Events,False,2023-06-30,25399.960906156874,22753.281493967497,900527,23120,1074,142700.84799063136,0.025673855420215053,0.9841384729224696,6.271660113222137,0.8957998627648348
Australia,EVAGO Corporate Events,False,2023-07-31,27903.33572584911,25123.32527372226,1126954,23743,1016,174343.55916318676,0.02106829560035281,1.0581360937422508,6.939509689250467,0.900369960085041
Australia,EVAGO Corporate Events,False,2023-08-31,25614.936481943074,22321.13014243747,1077513,27907,1406,196574.76052921676,0.025899455505409216,0.7998398302374841,8.806667013489792,0.8714107160942003
Australia,EVAGO Corporate Events,False,2023-09-30,23604.40138440542,20325.428766517645,955771,26069,1435,188744.60665485158,0.027275361985245418,0.7796781144853138,9.286131614884953,0.8610863895894401
