country,competitor,is_mojo_competitor,keyword,date,ranking,search_volume,estimated_traffic,market_share,avg_ranking
Australia,AussieEvents,False,Absperrgitter mieten,2023-01-31,17.548387096774192,74311,2353,0.15903980234897844,17.548387096774192
Australia,AussieEvents,False,Absperrgitter mieten,2023-02-28,14.357142857142858,61664,1629,0.161171804998107,14.357142857142858
Australia,AussieEvents,False,Absperrgitter mieten,2023-03-31,16.677419354838708,60088,1739,0.14870234615581,16.677419354838708
Australia,AussieEvents,False,Absperrgitter mieten,2023-04-30,15.433333333333334,68122,1929,0.1767889499767436,15.433333333333334
Australia,AussieEvents,False,Absperrgitter mieten,2023-05-31,15.096774193548388,59865,1693,0.15910535373383453,15.096774193548388
Australia,AussieEvents,False,Absperrgitter mieten,2023-06-30,16.2,61057,1541,0.1597427976365091,16.2
Australia,AussieEvents,False,Absperrgitter mieten,2023-07-31,15.580645161290322,61917,1513,0.1458605592717474,15.580645161290322
Australia,AussieEvents,False,Absperrgitter mieten,2023-08-31,12.838709677419354,65353,3097,0.13978218775412,12.838709677419354
Australia,AussieEvents,False,Absperrgitter mieten,2023-09-30,13.666666666666666,61937,1509,0.15393491232244932,13.666666666666666
Australia,AussieEvents,False,Absperrgitter mieten,2023-10-31,14.483870967741936,57266,2488,0.16064688267954003,14.483870967741936
Australia,AussieEvents,False,Absperrgitter mieten,2023-11-30,15.133333333333333,67823,2929,0.14943858114542338,15.133333333333333
Australia,AussieEvents,False,Absperrgitter mieten,2023-12-31,16.903225806451612,63042,1599,0.14417140917277912,16.903225806451612
Australia,AussieEvents,False,Absperrgitter mieten,2024-01-31,14.483870967741936,68810,2133,0.13803379162522034,14.483870967741936
Australia,AussieEvents,False,Absperrgitter mieten,2024-02-29,17.20689655172414,50748,1034,0.15364347348420757,17.20689655172414
Australia,AussieEvents,False,Absperrgitter mieten,2024-03-31,15.903225806451612,66002,2276,0.15211509851524205,15.903225806451612
Australia,AussieEvents,False,Absperrgitter mieten,2024-04-30,15.733333333333333,58074,1258,0.13684138936078463,15.733333333333333
Australia,AussieEvents,False,Absperrgitter mieten,2024-05-31,16.193548387096776,72938,2229,0.1487541290857903,16.193548387096776
Australia,AussieEvents,False,Absperrgitter mieten,2024-06-30,13.7,57581,1780,0.15432858256093843,13.7
Australia,AussieEvents,False,Absperrgitter mieten,2024-07-31,16.967741935483872,56353,2561,0.16027402311728162,16.967741935483872
Australia,AussieEvents,False,Absperrgitter mieten,2024-08-31,16.870967741935484,68339,1916,0.1336539749481587,16.870967741935484
Australia,AussieEvents,False,Absperrgitter mieten,2024-09-30,17.066666666666666,69683,1865,0.1440537354050533,17.066666666666666
Australia,AussieEvents,False,Absperrgitter mieten,2024-10-31,16.967741935483872,65863,2691,0.14060768750245276,16.967741935483872
Australia,AussieEvents,False,Absperrgitter mieten,2024-11-30,16.233333333333334,61707,1334,0.13172800455217715,16.233333333333334
Australia,AussieEvents,False,Absperrgitter mieten,2024-12-31,16.903225806451612,74463,1999,0.15764661017076328,16.903225806451612
Australia,AussieEvents,False,barrier rental,2023-01-31,14.516129032258064,56668,2236,0.15898726966820945,14.516129032258064
Australia,AussieEvents,False,barrier rental,2023-02-28,14.964285714285714,56944,2127,0.14089096414819915,14.964285714285714
Australia,AussieEvents,False,barrier rental,2023-03-31,13.483870967741936,73009,2525,0.1482748481645439,13.483870967741936
Australia,AussieEvents,False,barrier rental,2023-04-30,16.8,52691,1100,0.16242489647756256,16.8
Australia,AussieEvents,False,barrier rental,2023-05-31,14.612903225806452,72486,2163,0.15463917165322608,14.612903225806452
Australia,AussieEvents,False,barrier rental,2023-06-30,15.066666666666666,59810,1603,0.14459898385013384,15.066666666666666
Australia,AussieEvents,False,barrier rental,2023-07-31,14.548387096774194,77634,2328,0.1619271485848667,14.548387096774194
Australia,AussieEvents,False,barrier rental,2023-08-31,15.387096774193548,70906,2719,0.1479466275890104,15.387096774193548
Australia,AussieEvents,False,barrier rental,2023-09-30,15.1,53866,1553,0.14378080917651748,15.1
Australia,AussieEvents,False,barrier rental,2023-10-31,15.129032258064516,65034,2488,0.1583199938173164,15.129032258064516
Australia,AussieEvents,False,barrier rental,2023-11-30,16.1,62498,1724,0.15498123543693704,16.1
Australia,AussieEvents,False,barrier rental,2023-12-31,16.096774193548388,65307,1904,0.15566936197008827,16.096774193548388
Australia,AussieEvents,False,barrier rental,2024-01-31,17.322580645161292,61185,1333,0.14356444880024052,17.322580645161292
Australia,AussieEvents,False,barrier rental,2024-02-29,17.344827586206897,66609,1574,0.1388856732794531,17.344827586206897
Australia,AussieEvents,False,barrier rental,2024-03-31,14.161290322580646,57516,2352,0.15766623279490288,14.161290322580646
Australia,AussieEvents,False,barrier rental,2024-04-30,14.566666666666666,68323,2737,0.1448615968736221,14.566666666666666
Australia,AussieEvents,False,barrier rental,2024-05-31,17.483870967741936,59462,3404,0.13506532214001124,17.483870967741936
Australia,AussieEvents,False,barrier rental,2024-06-30,14.233333333333333,58884,2210,0.14241596288438457,14.233333333333333
Australia,AussieEvents,False,barrier rental,2024-07-31,14.64516129032258,72675,2911,0.16864079200984003,14.64516129032258
Australia,AussieEvents,False,barrier rental,2024-08-31,16.580645161290324,73607,2239,0.13945658597963162,16.580645161290324
Australia,AussieEvents,False,barrier rental,2024-09-30,16.1,57506,2288,0.1380558187236055,16.1
Australia,AussieEvents,False,barrier rental,2024-10-31,15.225806451612904,62767,2316,0.14019504559856882,15.225806451612904
Australia,AussieEvents,False,barrier rental,2024-11-30,16.0,63018,2539,0.12682963025243502,16.0
Australia,AussieEvents,False,barrier rental,2024-12-31,15.290322580645162,61955,2441,0.1407285331599188,15.290322580645162
Australia,AussieEvents,False,construction barriers,2023-01-31,15.935483870967742,63111,1560,0.1384081527670092,15.935483870967742
Australia,AussieEvents,False,construction barriers,2023-02-28,16.178571428571427,61907,2335,0.16553089688450245,16.178571428571427
Australia,AussieEvents,False,construction barriers,2023-03-31,12.35483870967742,61055,4132,0.15767523728332514,12.35483870967742
Australia,AussieEvents,False,construction barriers,2023-04-30,13.8,67118,2077,0.15770289697373413,13.8
Australia,AussieEvents,False,construction barriers,2023-05-31,15.935483870967742,56287,1291,0.1546281399811557,15.935483870967742
Australia,AussieEvents,False,construction barriers,2023-06-30,13.1,58189,2112,0.15903433574481307,13.1
Australia,AussieEvents,False,construction barriers,2023-07-31,12.225806451612904,63023,2853,0.1419911026055813,12.225806451612904
Australia,AussieEvents,False,construction barriers,2023-08-31,14.516129032258064,66674,2524,0.14586826948181578,14.516129032258064
Australia,AussieEvents,False,construction barriers,2023-09-30,16.9,62834,1549,0.15850083232823556,16.9
Australia,AussieEvents,False,construction barriers,2023-10-31,14.419354838709678,56846,2627,0.14034254534323193,14.419354838709678
Australia,AussieEvents,False,construction barriers,2023-11-30,14.6,69800,2607,0.1592950052991521,14.6
Australia,AussieEvents,False,construction barriers,2023-12-31,12.741935483870968,68509,4175,0.16228763589683246,12.741935483870968
Australia,AussieEvents,False,construction barriers,2024-01-31,17.258064516129032,72612,3051,0.14387455983188055,17.258064516129032
Australia,AussieEvents,False,construction barriers,2024-02-29,12.620689655172415,58431,3538,0.14545546758893066,12.620689655172415
Australia,AussieEvents,False,construction barriers,2024-03-31,15.064516129032258,58354,2635,0.15861393972809143,15.064516129032258
Australia,AussieEvents,False,construction barriers,2024-04-30,17.133333333333333,66759,1153,0.14754507668979872,17.133333333333333
Australia,AussieEvents,False,construction barriers,2024-05-31,16.70967741935484,62713,1963,0.1258085969345466,16.70967741935484
Australia,AussieEvents,False,construction barriers,2024-06-30,15.033333333333333,71628,2652,0.16470045677738893,15.033333333333333
Australia,AussieEvents,False,construction barriers,2024-07-31,18.225806451612904,75484,2246,0.13713312160571384,18.225806451612904
Australia,AussieEvents,False,construction barriers,2024-08-31,12.741935483870968,70320,3696,0.16017633117251046,12.741935483870968
Australia,AussieEvents,False,construction barriers,2024-09-30,18.2,65138,1258,0.16466869510733112,18.2
