keyword,country,keyword_type,is_mojo_keyword,date,ranking,search_volume,clicks,impressions,ctr,avg_position,organic_traffic,organic_traffic_potential
absperrgitter mieten,Germany,market,False,2023-01-01,25.0,4546.0,44,4074,0.0108001963672066,24.713851307671423,42,181.84
absperrgitter mieten,Germany,market,False,2023-01-08,25.428571428571427,5218.0,1105,37405,0.035947497860941015,25.401902227696247,972,205.20224719101122
absperrgitter mieten,Germany,market,False,2023-01-15,38.714285714285715,5730.857142857143,229,39842,0.006142804032598957,38.68734323207569,214,148.02952029520296
absperrgitter mieten,Germany,market,False,2023-01-22,26.571428571428573,2112.714285714286,360,11023,0.030771950557334286,26.928452969446663,358,79.51075268817205
absperrgitter mieten,Germany,market,False,2023-01-29,21.571428571428573,3640.0,234,28129,0.010127521188243957,22.227244901311575,241,168.74172185430461
absperrgitter mieten,Germany,market,False,2023-02-05,29.857142857142858,5380.857142857143,322,43486,0.008016652365372514,29.62719519284253,323,180.2200956937799
absperrgitter mieten,Germany,market,False,2023-02-12,25.857142857142858,2583.4285714285716,363,19445,0.019639975042932915,26.34464171798451,374,99.91160220994475
absperrgitter mieten,Germany,market,False,2023-02-19,18.857142857142858,4987.714285714285,1112,37979,0.03052538117169936,18.476220863336188,1155,264.5
absperrgitter mieten,Germany,market,False,2023-02-26,34.142857142857146,5449.714285714285,308,34599,0.009873683165691014,34.11154126941926,326,159.61506276150624
absperrgitter mieten,Germany,market,False,2023-03-05,27.714285714285715,3719.8571428571427,302,25758,0.011888896971463328,27.282450657278208,331,134.22164948453607
absperrgitter mieten,Germany,market,False,2023-03-12,25.285714285714285,4056.285714285714,257,27493,0.0117937231091491,25.250694598836493,243,160.4180790960452
absperrgitter mieten,Germany,market,False,2023-03-19,26.142857142857142,1663.5714285714287,199,11910,0.022405663051060683,26.618628194959136,189,63.63387978142077
absperrgitter mieten,Germany,market,False,2023-03-26,30.0,4392.142857142857,308,27614,0.010467884877201615,29.670865249577755,308,146.4047619047619
absperrgitter mieten,Germany,market,False,2023-04-02,21.0,4986.571428571428,977,34156,0.022218880609291343,20.451295135875153,922,237.45578231292515
absperrgitter mieten,Germany,market,False,2023-04-09,27.142857142857142,3753.8571428571427,263,30212,0.009100085292975086,27.330581956719985,282,138.3
absperrgitter mieten,Germany,market,False,2023-04-16,30.285714285714285,4230.285714285715,709,33216,0.019102072934360528,30.181323520990595,709,139.67924528301887
absperrgitter mieten,Germany,market,False,2023-04-23,32.285714285714285,4050.0,263,34173,0.007973597422532971,32.0983215325913,245,125.4424778761062
absperrgitter mieten,Germany,market,False,2023-04-30,21.571428571428573,4590.857142857143,984,41279,0.023029985540662743,21.250191816955436,944,212.8211920529801
absperrgitter mieten,Germany,market,False,2023-05-07,31.0,1965.4285714285713,111,13068,0.010314612410620186,31.034179914459287,112,63.40092165898617
absperrgitter mieten,Germany,market,False,2023-05-14,25.285714285714285,3662.285714285714,220,24526,0.009335996090519771,25.454632942035666,210,144.8361581920904
absperrgitter mieten,Germany,market,False,2023-05-21,29.857142857142858,3974.714285714286,273,26037,0.011227181728231327,30.354655085435933,281,133.1244019138756
